﻿initials,website,full_name,l_name_exists,title,school,department
AA,faculty/aa5ts,Abhijin,0,Assistant Professor,Provost's Office,PV-Biocomplexity Initiative
AA,faculty/aa9qu,Amal Abu Libdeh,1,Assistant Professor,School of Medicine,Department of Neurology
AA,faculty/ara5x,Ashok Asthagiri,1,Associate Professor,School of Medicine,Department of Neurological Surgery
AA,faculty/aa3wn,Ahmed al-Rahim,1,Associate Professor,College of Arts and Sciences,Department of Religious Studies
AA,faculty/apa6r,Alan Alfano,1,Professor of Clinical PM&amp;R,School of Medicine,Department of Physical Medicine and Rehabilitation
AA,faculty/aa4vb,Avinash Agarwal,1,Associate Professor,School of Medicine,Department of Surgery
AA,faculty/aa4cr,Abdelmalek Abdesselam,1,Associate Professor,College of Arts and Sciences,Department of Mathematics
AB,faculty/ajb5ww,Andrew J. Buda,1,Professor,School of Medicine,"Department of Medicine, Cardiovascular Medicine"
AB,faculty/alb8jp,Avery Buchholz,1,Assistant Professor,School of Medicine,Department of Neurological Surgery
AB,faculty/acb6n,Amy C Brown,1,Associate Professor,School of Medicine,Department of Pediatrics
AB,faculty/alw4k,Althea Brooks,1,Senior Director for Lifetime Learning,University Advancement,University Advancement
AB,faculty/acb2hf,Anna Brickhouse,1,Professor,College of Arts and Sciences,Department of English
AB,faculty/ahb8y,Amy H. Bouton,1,Professor,School of Medicine,Department of Microbiology
AB,faculty/ab7gp,Anna Borovskaya-Ellis,1,Assistant Professor,College of Arts and Sciences,Department of Slavic Languages and Literatures
AB,faculty/ab6j,Alison Booth,1,Professor,College of Arts and Sciences,Department of English
AB,faculty/alb9b,Armando L Bolmey,1,Executive Director,School of Medicine,PBHS Public Health Sciences Admin
AB,faculty/ald4p,Amy D. Boitnott,1,Assistant Professor,School of Nursing,School of Nursing
AB,faculty/ab4vs,Aniko Bodroghkozy,1,Professor,College of Arts and Sciences,Department of Media Studies
AB,faculty/asb2t,Aaron Bloomfield,1,Professor,School of Engineering and Applied Science,Department of Computer Science
AB,faculty/akb6v,Andrew Block,1,Associate Professor,School of Law,School of Law
AB,faculty/ajb6f,Ari Blatt,1,Associate Professor,College of Arts and Sciences,Department of French Language and Literatures
AB,faculty/amb8fk,Allison M Bigelow,1,Associate Professor,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
AB,faculty/ab5j,Asher Biemann,1,Professor,College of Arts and Sciences,Department of Religious Studies
AB,faculty/aob2x,Alan Olav Bergland,1,Assistant Professor,College of Arts and Sciences,Department of Biology
AB,faculty/ab3pj,Andreas Beling,1,Associate Professor,School of Engineering and Applied Science,Department of Electrical and Computer Engineering
AB,faculty/arb,Alan R. Beckenstein,1,Professor,Darden School of Business,Darden Graduate School of Business
AB,faculty/as4sk,Allison Bechtel,1,Associate Professor,School of Medicine,Department of Anesthesiology
AB,faculty/ab8yn,Ananda Basu,1,Professor,School of Medicine,"Department of Medicine, Endocrinology and Metabolism"
AB,faculty/ajb5d,Andrew Barros,1,Assistant Professor,School of Medicine,"Department of Medicine, Pulmonary and Critical Care"
AB,faculty/ab6uy,Adam Barnes,1,Senior Lecturer,School of Engineering and Applied Science,Department of Electrical and Computer Engineering
AB,faculty/ab3sy,Aditya Bamzai,1,Associate Professor,School of Law,School of Law
AB,faculty/atb3y,Ayn Theresa Balija,1,Associate Professor,College of Arts and Sciences,Department of Music
AB,faculty/abb5w,Alisa B Bahl,1,Associate Professor,School of Medicine,Department of Pediatrics
AB,faculty/ajb2t,Anthony J. Baglioni,1,Associate Professor,McIntire School of Commerce,McIntire School of Commerce
AB,faculty/asg3b,Ann Gamble Backof,1,Associate Professor,McIntire School of Commerce,McIntire School of Commerce
AC,faculty/ac9we,Anastatia Curley,1,Assistant Professor,College of Arts and Sciences,Department of English
AC,faculty/akc2r,Alison K. Criss,1,Associate Professor,School of Medicine,Department of Microbiology
AC,faculty/atc8g,Ashon Thomas Crawley,1,Associate Professor,College of Arts and Sciences,Department of Religious Studies
AC,faculty/acc8k,Alexander Cowan,1,Lecturer,Darden School of Business,Darden Graduate School of Business
AC,faculty/amc6z,Anne M. Coughlin,1,Professor,School of Law,School of Law
AC,faculty/ac2eq,Ahmet Kerem Kerem Cosar,1,Professor,College of Arts and Sciences,Department of Economics
AC,faculty/apc3m,Anthony Corbeill,1,Professor,College of Arts and Sciences,Department of Classics
AC,faculty/apc8d,Andrew Copland,1,Assistant Professor,School of Medicine,"Department of Medicine, Gastroenterology"
AC,faculty/ac2nm,Anna Cliffe,1,Assistant Professor,School of Medicine,Department of Microbiology
AC,faculty/ahc8v,Anita Hammer Clayton,1,Professor,School of Medicine,Department of Psychiatry and NB Sciences
AC,faculty/ac4gb,Anna Clay,1,Assistant Professor,College of Arts and Sciences,Department of Media Studies
AC,faculty/adc5q,Amy D. Clark,1,Professor,UVA College at Wise,UVA College at Wise
AC,faculty/afc7r,Andres F. Clarens,1,Professor,School of Engineering and Applied Science,Department of Systems and Information Engineering
AC,faculty/ac2h,Abhinav Chhabra,1,Professor,School of Medicine,Orthopaedic Hand Surgery Division
AC,faculty/ac3cq,Amar Cheema,1,Professor,McIntire School of Commerce,McIntire School of Commerce
AC,faculty/asc3r,Andrew S. Chancey,1,Lecturer,President's Office,Miller Center
AC,faculty/abc4n,Amy Beth Chan,1,Assistant Professor,College of Arts and Sciences,Department of Art
AC,faculty/amc7jc,Andre Michael Cavalcante,1,Associate Professor,College of Arts and Sciences,Department of Media Studies
AC,faculty/alc6tv,Anthony L. Cashio,1,Associate Professor,UVA College at Wise,UVA College at Wise
AC,faculty/acc8v,Adam Christopher Carter,1,Associate Professor,College of Arts and Sciences,Department of Music
AC,faculty/alc4jb,A.D. Carson,1,Assistant Professor,College of Arts and Sciences,Department of Music
AC,faculty/aqc3f,Adam Carlson,1,Assistant Professor,School of Medicine,"Department of Medicine, Rheumatology"
AC,faculty/agc9a,Anselmo Gianluca Canfora,1,Associate Professor,School of Architecture,Department of Architecture
AC,faculty/abc6c,Bruce Cahoon,1,Professor,UVA College at Wise,UVA College at Wise
AD,faculty/ad3zx,Arthur de Camargo Zanin,1,Lecturer,College of Arts and Sciences,Department of Music
AD,faculty/ard5h,Alexandra De Leon,1,Assistant Professor,School of Medicine,Department of Pediatrics
AD,faculty/acd2g,Andrew C. Dudley,1,Associate Professor,School of Medicine,Department of Microbiology
AD,faculty/ad3nb,Alden Michael Doyle,1,Professor,School of Medicine,"Department of Medicine, Nephrology Division"
AD,faculty/ad4ks,Afsaneh Doryab,1,Assistant Professor,School of Engineering and Applied Science,Department of Systems and Information Engineering
AD,faculty/aed3w,Amy Doran,1,Assistant Professor,School of Medicine,"Department of Medicine, Gastroenterology"
AD,faculty/ad3bb,Arjun Dirghangi,1,Assistant Professor,School of Medicine,Department of Ophthalmology
AD,faculty/asd2n,Abhijit Dighe,1,Assistant Professor,School of Medicine,Orthopaedic Surgery Research Center
AD,faculty/ash6b,Andrea Horne Denton,1,Lecturer,Health System,Claude Moore Health Sciences Library
AD,faculty/ad9rq,Alp Demirag,1,Associate Professor,School of Medicine,Department of Surgery
AD,faculty/ad5jt,Ashley Deeks,1,Professor,School of Law,School of Law
AD,faculty/aed6d,Andrew E. Darby,1,Associate Professor,School of Medicine,"Department of Medicine, Cardiovascular Medicine"
